nom,type,address,cp,ville,region,telephone,email,site,desc
1 ERE COMPAGNIE DE CHAUMONT,Tir à l'arc,,52000,CHAUMONT,Grand Est,,archersdechaumont@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans. Hors vacances scolaires. 
45EMES FOOTBALL AMERICAIN DE CHATEAUNEUF DU RHONE,Football Américain,Terrain de Rugby chemin le Mas,26780,CHATEAUNEUF DU RHONE,Auvergne-Rhône-Alpes,,523@fffa.org,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
47 FIGHT CLUB,Boxe Française,,47550,BOÉ,Nouvelle-Aquitaine,0784424456,fightclub47@hotmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans.
A S D P T SAVATE MENTON,Boxe Française,,06500,MENTON,Provence-Alpes-Côte d'Azur,,asdptmenton@gmail.com,http://asdptmenton.clubeo.com,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans.
A T A Q,Tir à l'arc,,29300,QUIMPERLÉ,Bretagne,,ataq.quimperle@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans. Hors vacances scolaires. 
A.N.G,Boxe Française,,68170,RIXHEIM,Grand Est,0667286868,mekki.hanachi@sfr.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans.
A.S.ROUEN UNIVERSITÉ CLUB,Hockey sur Gazon,,76130,MONT ST AIGNAN,Normandie,,entraineur.hockey@asrouenuc.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 6 ans.
AC BOBIGNY 93 RUGBY,Rugby,13 avenue du Président Salvador Allende,93000,BOBIGNY,Île-de-France,0148954740,contact@bobigny93rugby.fr,http://www.bobigny93rugby.fr,Réservation obligatoire. Trois séances offertes sur remise du pass. Offre non cumulable pour une même personne. A partir de 8 ans.
AC NICE,Tir à l'arc,,06340,LA TRINITÉ,Provence-Alpes-Côte d'Azur,,arc-club-nice@wanadoo.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans. Hors vacances scolaires. 
ACADEMIE BOXING CLUB,Boxe Française,,94600,CHOISY-LE-ROI,Île-de-France,0607345446,raymond.tournemelle@wanadoo.fr,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans.
ACADEMIE DE SANTE,Séance parcours santé urbain,3 rue Louis Armand,74000,ANNECY,Auvergne-Rhône-Alpes,0749010400,academiedelasante@gmail.com,http://www.academiedelasante.fr,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 14 ans.
ACADÉMIE VILLENEVOISE DES SPORTS DE COMBAT,Boxe Française,,66180,VILLENEUVE  DE  LA  RAHO,Occitanie,0468558296,raho@cegetel.net,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans.
AES CHAMPS SUR MARNE,Boxe Française,,77420,CHAMPS  SUR  MARNE,Île-de-France,,aes-boxingclubchampssurmarne@orange.fr,http://savate-champs.fr,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 7 ans.
AIKI 3,Aikido,19 Rue De La Tour Boileau,10000,TROYES ,Grand Est,,michel.czerniak@gmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
AIKI NO MICHI,Aikido,Sous La Tribune du Stade De Foot Du François,97240,FRANCOIS ,Martinique ,,luislauhon@hotmail.com,,Réservation obligatoire. Une séance offerte sur remise de votre pass. Offre non cumulable pour une même personne. A partir de 8 ans.
